,Names,Full_Names,Adjs,Capital
0,Aruba,Aruba,Aruba,Aruba
3,Arctica,Arctica,Arctic,Arctica
5,EU,European Union,European,Brussels
7,Latin America,Latin America,Latin American,Latin America
8,Middle East,Middle East,Middle Eastern,Middle East
9,Balkan,Balkan,Balkanian,Balkan
10,Caribbean,Caribbean,Caribbean,Caribbean
11,Gulf,Gulf,Arabic,Gulf
12,Afghanistan,Islamic Republic of Afghanistan,Afghan,Kabul
13,Angola,Republic of Angola,Angolan,Luanda
14,Anguilla,Anguilla,Anguillan,Anguilla
15,Aland Islands,Aland Islands,Aland Islands,Aland Islands
16,Albania,Republic of Albania,Albanian,Tirana
17,Andorra,Principality of Andorra,Andorran,Andorra la Vella
18,United Arab Emirates,United Arab Emirates,United Arab Emirates,Abu Dhabi
19,Argentina,Argentine Republic,Argentinian,Buenos Aires
20,Armenia,Republic of Armenia,Armenian,Yerevan
21,American Samoa,American Samoa,American Samoa,American Samoa
22,Antarctica,Antarctica,Antarctic,Antarctica
23,French Southern Territories,French Southern Territories,French Southern Territories,French Southern Territories
24,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,St. John's
25,Australia,Australia,Australian,Canberra
26,Austria,Republic of Austria,Austrian,Vienna
27,Azerbaijan,Republic of Azerbaijan,Azerbaijani,Baku
28,Burundi,Republic of Burundi,Burundian,Gitega
29,Belgium,Kingdom of Belgium,Belgian,Brussels
30,Benin,Republic of Benin,Beninese,Porto-Novo
31,Bonaire,"Bonaire, Sint Eustatius and Saba",Bonaire,Bonaire
32,Burkina Faso,Burkina Faso,Burkinan,Ouagadougou
33,Bangladesh,People's Republic of Bangladesh,Bangladeshi,Dhaka
34,Bulgaria,Republic of Bulgaria,Bulgarian,Sofia
35,Bahrain,Kingdom of Bahrain,Bahraini,Manama
36,Bahamas,Commonwealth of the Bahamas,Bahamian,Nassau
37,Bosnia,Republic of Bosnia and Herzegovina,Bosnian,Sarajevo
38,Saint Barthélemy,Saint Barthélemy,Saint Barthélemy,Gustavia
39,Belarus,Republic of Belarus,Belarusian,Minsk
40,Belize,Belize,Belizean,Belmopan
41,Bermuda,Bermuda,Bermudan,Hamilton
42,Bolivia,Plurinational State of Bolivia,Bolivian,Sucre
43,Brazil,Federative Republic of Brazil,Brazilian,Brasília
44,Barbados,Barbados,Barbadian,Bridgetown
45,Brunei,Brunei Darussalam,Bruneian,Bandar Seri Begawan
46,Bhutan,Kingdom of Bhutan,Bhutanese,Thimphu
47,Bouvet Island,Bouvet Island,Bouvet Island,Bouvet Island
48,Botswana,Republic of Botswana,Botswanan,Gaborone
49,Central African Republic,Central African Republic,Central African,Bangui
50,Canada,Canada,Canadian,Ottawa
51,Cocos,Cocos (Keeling) Islands,Cocos (Keeling) Islands,Cocos (Keeling) Islands
52,Switzerland,Swiss Confederation,Swiss,Bern
53,Chile,Republic of Chile,Chilean,Santiago
54,China,People's Republic of China,Chinese,Beijing
55,Côte d'Ivoire,Republic of Côte d'Ivoire,Côte d'Ivoire,Yamoussoukro
56,Cameroon,Republic of Cameroon,Cameroonian,Yaoundé
57,"Congo, The Democratic Republic of the","Congo, The Democratic Republic of the",The Democratic Republic of Congo,Kinshasa
58,Republic of the Congo,Republic of the Congo,Congolese,Brazzaville
59,Cook Islands,Cook Islands,Cook Islands,Avarua
60,Colombia,Republic of Colombia,Colombian,Phnom Penh
61,Comoros,Union of the Comoros,Comoro,Moroni
62,Cabo Verde,Republic of Cabo Verde,Cabo Verde,Cabo Verde
63,Costa Rica,Republic of Costa Rica,Costa Rican,San Jose
64,Cuba,Republic of Cuba,Cuban,Havana
65,Curacao,Curaçao,Curaçao,Curaçao
66,Christmas Island,Christmas Island,Christmas Island,Flying Fish Cove
67,Cayman Islands,Cayman Islands,Cayman,George Town
68,Cyprus,Republic of Cyprus,Cyprus,Nicosia
69,Czechia,Czech Republic,Czech,Prague
70,Germany,Federal Republic of Germany,German,Berlin
71,Djibouti,Republic of Djibouti,Djiboutian,Djibouti
72,Dominica,Commonwealth of Dominica,Dominican,Roseau
73,Denmark,Kingdom of Denmark,Danish,Copenhagen
74,Dominican Republic,Dominican Republic,Dominican,Santo Domingo
75,Algeria,People's Democratic Republic of Algeria,Algerian,Algiers
76,Ecuador,Republic of Ecuador,Ecuadorian,Quito
77,Egypt,Arab Republic of Egypt,Egyptian,Cairo
78,Eritrea,the State of Eritrea,Eritrean,Asmara
79,Western Sahara,Western Sahara,Saharan,El Aaiun
80,Spain,Kingdom of Spain,Spainish,Madrid
81,Estonia,Republic of Estonia,Estonian,Tallinn
82,Ethiopia,Federal Democratic Republic of Ethiopia,Ethiopian,Addis Ababa
83,Finland,Republic of Finland,Finnish,Helsinki
84,Fiji,Republic of Fiji,Fijian,Suva
85,Falkland Islands,Falkland Islands (Malvinas),Falkland Islands,Malvinas
86,France,French Republic,French,Paris
87,Faroe Islands,Faroe Islands,Faroe Islands,Torshavn
88,Micronesia,Federated States of Micronesia,"Micronesia, Federated States of",Micronesia
89,Gabon,Gabonese Republic,Gabonese,Libreville
90,United Kingdom,United Kingdom of Great Britain and Northern Ireland,British,London
91,Georgia,Georgia,Georgian,Tbilisi
92,Guernsey,Guernsey,Guernsey,St. Peter Port
93,Ghana,Republic of Ghana,Ghanaian,Accra
94,Gibraltar,Gibraltar,Gibraltarian,Gibraltar
95,Guinea,Republic of Guinea,Guinean,Conakry
96,Guadeloupe,Guadeloupe,Guadeloupe,Basse-Terre
97,Gambia,Republic of the Gambia,Gambian,Banjul
98,Guinea-Bissau,Republic of Guinea-Bissau,Guinea-Bissau,Bissau
99,Equatorial Guinea,Republic of Equatorial Guinea,Equatorial Guinea,Malabo
100,Greece,Hellenic Republic,Greek,Athens
101,Grenada,Grenada,Grenadan,St. George's
102,Greenland,Greenland,Greenland,Nuuk
103,Guatemala,Republic of Guatemala,Guatemalan,Guatemala City
104,French Guiana,French Guiana,French Guiana,Cayenne
105,Guam,Guam,Guamnian,Hagåtña
106,Guyana,Republic of Guyana,Guyanese,Georgetown
107,Hong Kong,Hong Kong Special Administrative Region of China,Hongkongnese,City of Victoria
108,Heard Island and McDonald Islands,Heard Island and McDonald Islands,Heard Island and McDonald Islands,Heard Island and McDonald Islands
109,Honduras,Republic of Honduras,Honduran,Tegucigalpa
110,Croatia,Republic of Croatia,Croatian,Zagreb
111,Haiti,Republic of Haiti,Haitian,Port-au-Prince
112,Hungary,Hungary,Hungarian,Budapest
113,Indonesia,Republic of Indonesia,Indonesian,Jakarta
114,Isle of Man,Isle of Man,Isle of Man,Douglas
115,India,Republic of India,Indian,New Delhi
116,British Indian Ocean Territory,British Indian Ocean Territory,British Indian Ocean Territory,Diego Garcia
117,Ireland,Ireland,Irish,Dublin
118,Iran,Islamic Republic of Iran,Iranian,Tehran
119,Iraq,Republic of Iraq,Iraqi,Baghdad
120,Iceland,Republic of Iceland,Icelandic,Reykjavik
121,Israel,State of Israel,Israeli,Jerusalem
122,Italy,Italian Republic,Italian,Rome
123,Jamaica,Jamaica,Jamaican,Kingston
124,Jersey,Jersey,Jersey,Saint Helier
125,Jordan,Hashemite Kingdom of Jordan,Jordanian,Amman
126,Japan,Japan,Japanese,Tokyo
127,Kazakhstan,Republic of Kazakhstan,Kazakh,Astana
128,Kenya,Republic of Kenya,Kenyan,Nairobi
129,Kyrgyzstan,Kyrgyz Republic,Kyrgyz,Bishkek
130,Cambodia,Kingdom of Cambodia,Cambodian,Phnom Penh
131,Kiribati,Republic of Kiribati,Kiribati,South Tarawa
132,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Basseterre
133,Korea,"Korea, Republic of",Korean,Seoul
134,Kuwait,State of Kuwait,Kuwaiti,Kuwait City
135,Laos,Lao People's Democratic Republic,Laotian,Vientiane
136,Lebanon,Lebanese Republic,Lebanese,Beirut
137,Liberia,Republic of Liberia,Liberian,Monrovia
138,Libya,Libya,Libyan,Tripoli
139,Saint Lucia,Saint Lucia,Saint Lucia,Castries
140,Liechtenstein,Principality of Liechtenstein,Liechtenstein,Vaduz
141,Sri Lanka,Democratic Socialist Republic of Sri Lanka,Sri Lankan,Colombo
142,Lesotho,Kingdom of Lesotho,Lesotho,Maseru
143,Lithuania,Republic of Lithuania,Lithuanian,Vilnius
144,Luxembourg,Grand Duchy of Luxembourg,Luxembourgish,Luxembourg
145,Latvia,Republic of Latvia,Latvian,Riga
146,Macao,Macao Special Administrative Region of China,Macao,Macao
147,Saint Martin,Saint Martin (French part),Saint Martin (French part),Saint Martin
148,Morocco,Kingdom of Morocco,Moroccan,Rabat
149,Monaco,Principality of Monaco,Monaco,Monaco
151,Madagascar,Republic of Madagascar,Madagascan,Antananarivo
152,Maldives,Republic of Maldives,Maldivian,Male
153,Mexico,United Mexican States,Mexican,Mexico City
154,Marshall Islands,Republic of the Marshall Islands,Marshall Islands,Majuro
155,Macedonia,Republic of North Macedonia,Macedonian,Skopje
156,Mali,Republic of Mali,Mali,Bamako
157,Malta,Republic of Malta,Maltase,Valletta
158,Myanmar,Burma,Burmese,Naypyidaw
159,Montenegro,Montenegro,Montenegrin,Podgorica
160,Mongolia,Mongolia,Mongolian,Ulan Bator
161,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,Northern Mariana Islands,Saipan
162,Mozambique,Republic of Mozambique,Mozambican,Maputo
163,Mauritania,Islamic Republic of Mauritania,Mauritanian,Nouakchott
164,Montserrat,Montserrat,Montserratian,Plymouth
165,Moldova,Republic of Moldova,Moldovian,Chisinau
166,Martinique,Martinique,Martiniquan,Fort-de-France
167,Mauritius,Republic of Mauritius,Mauritian,Port Louis
168,Malawi,Republic of Malawi,Malawian,Lilongwe
169,Malaysia,Malaysia,Malaysian,Kuala Lumpur
170,Mayotte,Mayotte,Mayotte,Mamoudzou
171,Namibia,Republic of Namibia,Namibian,Windhoek
172,New Caledonia,New Caledonia,New Caledonia,Noumea
173,Niger,Republic of the Niger,Nigerian,Niamey
174,Norfolk Island,Norfolk Island,Norfolk Island,Kingston
175,Nigeria,Federal Republic of Nigeria,Nigeria,Abuja
176,Nicaragua,Republic of Nicaragua,Nicaraguan,Managua
177,Niue,Niue,Niuean,Alofi
178,Netherlands,Kingdom of the Netherlands,Netherlandish ,Amsterdam
179,Norway,Kingdom of Norway,Norwegian,Oslo
180,Nepal,Federal Democratic Republic of Nepal,Nepali,Kathmandu
181,Nauru,Republic of Nauru,Nauruan,Yaren
182,New Zealand,New Zealand,New Zealand,Wellington
183,Oman,Sultanate of Oman,Omani,Muscat
184,Pakistan,Islamic Republic of Pakistan,Pakistani,Islamabad
185,Panama,Republic of Panama,Panamanian,Panama City
186,Pitcairn,Pitcairn,Pitcairn,Adamstown
187,Peru,Republic of Peru,Peruvian,Lima
188,Philippines,Republic of the Philippines,Philippine,Manila
189,Palau,Republic of Palau,Palauan,Ngerulmud
190,Papua New Guinea,Independent State of Papua New Guinea,Papua New Guinea,Port Moresby
191,Poland,Republic of Poland,Polish,Warsaw
192,Puerto Rico,Puerto Rico,Puerto Rican,San Juan
193,North Korea,Democratic People's Republic of Korea,"Korea, Democratic People's Republic of",Pyongyang
194,Portugal,Portuguese Republic,Portuguese,Lisbon
195,Paraguay,Republic of Paraguay,Paraguayan,Asuncion
196,"Palestine, State of",the State of Palestine,Palestinian,Jerusalem
197,French Polynesia,French Polynesia,French Polynesia,Papeete
198,Qatar,State of Qatar,Qatari,Doha
199,Réunion,Réunion,Réunion,Saint-Denis
200,Romania,Romania,Romanian,Bucharest
201,Russia,Russian Federation,Russian,Moscow
202,Rwanda,Rwandese Republic,Rwandan,Kigali
203,Saudi Arabia,Kingdom of Saudi Arabia,Saudi Arabian,Riyadh
204,Sudan,Republic of the Sudan,Sudanese,Khartoum
205,Senegal,Republic of Senegal,Senegalese,Dakar
206,Singapore,Republic of Singapore,Singaporean,Singapore
207,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,King Edward Point
208,Saint Helena,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",Saint Helena
209,Svalbard and Jan Mayen,Svalbard and Jan Mayen,Svalbard and Jan Mayen,Longyearbyen
210,Solomon Islands,Solomon Islands,Solomon Islands,Honiara
211,Sierra Leone,Republic of Sierra Leone,Sierra Leone,Freetown
212,El Salvador,Republic of El Salvador,El Salvador,San Salvador
213,San Marino,Republic of San Marino,San Marino,City of San Marino
214,Somalia,Federal Republic of Somalia,Somalian,Mogadishu
215,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Saint-Pierre
216,Serbia,Republic of Serbia,Serbian,Belgrade
217,South Sudan,Republic of South Sudan,South Sudanese,Juba
218,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe
219,Suriname,Republic of Suriname,Surinamese,Paramaribo
220,Slovakia,Slovak Republic,Slovakian,Bratislava
221,Slovenia,Republic of Slovenia,Slovenian,Ljubljana
222,Sweden,Kingdom of Sweden,Swedish,Stockholm
223,Eswatini,Kingdom of Eswatini,Eswatini,Eswatini
224,Sint Maarten,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten
225,Seychelles,Republic of Seychelles,Seychellois,Victoria
226,Syrian Arab Republic,Syrian Arab Republic,Syrian,Damascus
227,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands
228,Chad,Republic of Chad,Chad,Djamena
229,Togo,Togolese Republic,Togolese,Lome
230,Thailand,Kingdom of Thailand,Thai,Bangkok
231,Tajikistan,Republic of Tajikistan,Tajik,Dushanbe
232,Tokelau,Tokelau,Tokelau,Fakaofo
233,Turkmenistan,Turkmenistan,Turkmen,Ashgabat
234,Timor-Leste,Democratic Republic of Timor-Leste,Timor-Leste,Dili
235,Tonga,Kingdom of Tonga,Tongan,Nukualofa
236,Trinidad and Tobago,Republic of Trinidad and Tobago,Trinidad and Tobago,Port of Spain
237,Tunisia,Republic of Tunisia,Tunisian,Tunis
238,Turkey,Republic of Turkey,Turkish,Ankara
239,Tuvalu,Tuvalu,Tuvaluan,Funafuti
240,Taiwan,"Taiwan, Province of China",Taiwanese,Taipei
241,Tanzania,United Republic of Tanzania,Tanzanian,Dodoma
242,Uganda,Republic of Uganda,Ugandan,Kampala
243,Ukraine,Ukraine,Ukrainian,Kiev
244,Uruguay,Eastern Republic of Uruguay,Uruguayan,Montevideo
245,United States,United States of America,United States,Washington D.C.
246,Uzbekistan,Republic of Uzbekistan,Uzbek,Tashkent
247,Vatican,Vatican,Vatican,Vatican
248,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Kingstown
249,Venezuela,Bolivarian Republic of Venezuela,"Venezuela, Bolivarian Republic of",Caracas
250, BVI ,British Virgin Islands,"Virgin Islands, British",Road Town
251,"Virgin Islands, U.S.",Virgin Islands of the United States,"Virgin Islands, U.S.","Virgin Islands, U.S."
252,Vietnam,Socialist Republic of Vietnam,Vietnamese,Hanoi
253,Vanuatu,Republic of Vanuatu,Vanuatu,Port Vila
254,Wallis and Futuna,Wallis and Futuna,Wallis and Futuna,Mata-Utu
255,Samoa,Independent State of Samoa,Samoa,Apia
256,Yemen,Republic of Yemen,Yemeni,Sana'a
257,South Africa,Republic of South Africa,South African,Pretoria
258,Zambia,Republic of Zambia,Zambian,Lusaka
259,Zimbabwe,Republic of Zimbabwe,Zimbabwean,Harare
260,United Kingdom,United Kingdom, UK ,London